Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,HK Regulatory Timeline,A curated list of the Regulatory events around Bitcoin in Hong Kong,https://www.bitcoin.org.hk/images/site-logo.png,,"<a href=""https://bitcoin.org.hk/"" title=""BitcoinHK"">Bitcoin Association of Hong Kong</a>",,title,,#E60600
2012,7,25,19:00,2012,7,25,22:00,25 July 2012,First Hong Kong Bitcoin Meetup,"Bitcoin enthusiasts for the first time met in person at <a href=""https://www.meetup.com/Bitcoin-HK/events/73516782/""> the Hong Kong Bitcoin Meetup. </a>",https://www.youtube.com/watch?v=DE85w-_8EgI&feature=youtu.be,BitcoinHK,https://www.meetup.com/Bitcoin-HK/events/73516782/,,,,#333333
2013,5,,,2013,8,,,Summer 2013,First Hong Kong Bitcoin exchanges open,"The two first Hong Kong Bitcoin exchanges ANX and Bitcashout open to customers. Before, MtGox, Bitstamp and Bitfinex were servicing the market primarily.",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/anx-intl.png,,,,,,
2013,12,1,,2013,12,1,,1 December 2013,John Tsang blogs about Bitcoin,"The Hong Kong Financial Secretary John Tsang becomes the first Hong Kong official to <a href=""https://web.archive.org/web/20131204131214/https://www.fso.gov.hk/chi/blog/blog011213.htm""> blog </a> about the topic of Bitcoin.",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/finsechk.jpg,Financial Secretary,,,,,#054aa2
2013,12,4,,2013,12,4,,4 December 2013,Bitcoin is debated in the Legislative Council,"<blockquote>Legislator Christopher Cheung 張華峰, representing the financial services asks: “Will the Government state its position on the Bitcoin clearly and openly, so that the industry can have something to go by?” </blockquote> <a href=""http://library.legco.gov.hk:1080/record=b1162178"">LegCo Library </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/legco.png,Legco,,,,,
2013,12,4,,2013,12,4,,4 December 2013,"Bitcoin is defined as a 'Virtual Commodity,' falling under the jurisdiction of the Customs & Excise Department.","John Tsang: ""Bitcoin is a commodity generated in the cyber world” and “neither electronic money nor a stored value payment facility.""<a href=""http://library.legco.gov.hk:1080/record=b1162178""> LegCo Library</a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/bitcoin-art.jpg,,,,,,
2014,1,8,,2014,1,8,,8 January 2014,Government warns about Bitcoin,,"<blockquote> Secretary for Financial Services and the Treasury, Professor K C Chan: “We have branded bitcoins as a highly speculative product and we call upon the public to be very careful.” </blockquote> <a href=""https://www.info.gov.hk/gia/general/201401/08/P201401080357.htm"">Information Services Dept </a>",SFC,,,,,#333333
2014,1,30,,2014,1,30,,30 January 2014,Customs & Excise warns of risks associated with Bitcoin,"The Customs & Excise Department exercises its jurisdiction over Bitcoin and sends out a circular to entities licensed by it. <a href=""https://www.customs.gov.hk/filemanager/common/pdf/circular_VC_30012014_en.pdf""> Customs & Excise Dept Circular </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/HK-skyline.png,Customs and Excise Dept,,,,,
2014,6,,,2014,6,,,June 2014,Joint Financial Intelligence Unit references Bitcoin,"The Joint Financial Intelligence Unit references a report by the FATF on cryptocurrencies. <a href=""http://www.jfiu.gov.hk/info/doc/Virtual-currency-key-definitions-and-potential-aml-cft-risks.pdf"">FATF/JFIU </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/FATF2014.png,FATF/JFIU,,,,,#072d85
2015,3,25,,2015,3,25,,March 2015,Secretary for Financial Services rejects demands for more regulation,"Secretary for Financial Services & the Treasury Prof KC Chan says ""more Bitcoin regulation is not needed."" <a href=""https://www.news.gov.hk/en/categories/finance/html/2015/03/20150325_150920.shtml"">Information Services Dept </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/SFC.jpeg,SFC,,,,,#333333
2016,11,16,,2016,11,16,,November 2016,HKMA refers to Bitcoin as 'cryptocurrency',"In the ""Blockchain Whitepaper"" written by ASTRI and commissioned by the HKMA Bitcoin is labelled a 'cryptocurrency' <a href=""https://www.hkma.gov.hk/media/eng/doc/key-functions/finanical-infrastructure/Whitepaper_On_Distributed_Ledger_Technology.pdf""> HKMA </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/HKMA-wide.jpeg,HKMA,,,,,#460976
2017,9,5,,2017,9,5,,September 2017,SFC warns of ICOs,The Securities and Futures Commission warns of the dangers of ICOs and that some of these tokens do constitute securities.,https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/HK-SFC-ICO.jpeg,SFC,,,,,#333333
2017,10,25,,2017,10,25,,October 2017,HKMA refers to Bitcoin as 'cryptocurrency' again,"In the second edition of the ""Blockchain Whitepaper"" Bitcoin is again referred to as a cryptocurrency. <a href=""https://www.hkma.gov.hk/media/eng/doc/key-functions/finanical-infrastructure/infrastructure/20171025e1a1.pdf""> HKMA </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/HKMA-logo.png,HKMA,,,,,
2018,2,9,,2018,2,9,,February 2018,SFC asks exchanges to delist tokens deemed 'securities',"The SFC began clarifying that some tokens are indeed seen as securities, and Hong Kong cryptocurrency exchanges were urged to comply as quickly as possible. <a href=""https://www.sfc.hk/edistributionWeb/gateway/EN/news-and-announcements/news/doc?refNo=18PR13""> SFC </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/SFC-plaque.jpg,SFC,,,,,#333333
2018,9,21,,2018,9,21,,September 2018,HKMA reiterates that 'Bitcoin is not laundered',"HKMA Chief Executive, Norman Chan reiterates their stance that Bitcoin is not money, but instead a type of commodity. As a commodity, it cannot be laundered. <a href=""https://www.hkma.gov.hk/eng/news-and-media/speeches/2018/09/20180921-1/""> HKMA </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/HKMA-wide.jpeg,HKMA,,,,,#460976
2018,11,1,,2018,11,1,,November 2018,SFC declared need to regulate 'virtual assets' and creation of new sandbox regime,"SFC CEO Ashley Alders declares Bitcoin a 'Virtual Asset' which the SFC has no jurisdiction over, but nonetheless aims to regulate. A 'sandbox regime' is announced. <a href=""https://www.sfc.hk/web/EN/files/ER/PDF/Speeches/Ashley%20HK%20FinTech%20Week.pdf""> SFC </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/SFC-mug.jpg,SFC,,,,,#333333
2019,3,28,,2019,3,28,,March 2019,SFC declares Security Token Offerings 'Securities',"Any person who markets and distributes Security Tokens (whether in Hong Kong or targeting Hong Kong investors) is required to be licensed or registered for Type 1 regulated activity. All usual due diligence, information and investor warnings apply.' <a href=""https://www.sfc.hk/web/EN/news-and-announcements/policy-statements-and-announcements/statement-on-security-token-offerings.html""> SFC </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/SFC.jpeg,SFC,,,,,#333333
2019,4,3,,2019,4,3,,April 2019,Secretary for Financial Services labels Bitcoin a 'Virtual Asset',"Secretary for Financial Services and the Treasury, James Lau talks about Bitcoin and other cryptocurrencies a 'Virtual Asset.' <a href=""https://www.info.gov.hk/gia/general/201904/03/P2019040300257.htm""> Information Services Dept </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/virtualasset.jpeg,Information Services Department,,,,,
2019,10,,,2019,10,,,October 2019,SFC releases 'terms and conditions' for cryptocurrency businesses,"The Securities and Futures Commission releases a set of 'terms and conditions' which will apply to those cryptocurrency businesses voluntarily placing themselves under SFC supervision. <a href=""https://www.sfc.hk/web/EN/files/IS/publications/VA_Portfolio_Managers_Terms_and_Conditions_(EN).pdf""> SFC </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/SFC-plaque.jpg,SFC,,,,,#333333
2020,8,21,,2020,8,21,,August 2020,SFC issues 'Approval-in-principle' to cryptocurrency brokerage for the first time.,"Hong Kong brokerage OSL becomes the first exchange to receive ""Approval-in-principle"" for brokerages and exchange services from the SFC. <a href=""https://osl.com/en/in-the-news/press-releases/20200821AIP""> OSL Press Release </a>",https://kind-bardeen-62c31c.netlify.app/images/reg-timeline/OSL.png,OSL,,,,,